"","formatted_address","province","citycode","city","district","adcode","lng","lat","Name","geo","X.1"
"150","江苏省徐州市鼓楼区龟山景区","江苏省",516,"XZ","鼓楼区",320302,117.138295,34.30726,"徐州龟山景区","c(117.138295"," 34.30726)"
"151","江苏省苏州市吴中区天平山景区","江苏省",512,"SZ","吴中区",320506,120.502977,31.28774,"苏州天平山景区","c(120.502977"," 31.28774)"
"152","江苏省苏州市虎丘区石湖景区","江苏省",512,"SZ","虎丘区",320505,120.598128,31.24293,"苏州石湖景区","c(120.598128"," 31.24293)"
"153","江苏省苏州市虎丘区中国刺绣艺术馆","江苏省",512,"SZ","虎丘区",320505,120.345241,31.33452,"苏州中国刺绣艺术馆","c(120.345241"," 31.33452)"
"154","江苏省连云港市","江苏省",518,"LYG","list()",320700,119.221611,34.59665,"连云港革命历史纪念馆","c(119.221611"," 34.59665)"
"155","江苏省盐城市阜宁县金沙湖旅游区","江苏省",515,"YC","阜宁县",320923,119.80316,33.71892,"阜宁金沙湖旅游区","c(119.80316"," 33.71892)"
"156","江苏省徐州市云龙区徐州博物馆","江苏省",516,"XZ","云龙区",320303,117.186093,34.25058,"徐州市博物馆","c(117.186093"," 34.25058)"
"157","江苏省徐州市贾汪区蟠桃佛教文化景区","江苏省",516,"XZ","贾汪区",320305,117.266537,34.29538,"徐州蟠桃山佛教文化景区","c(117.266537"," 34.29538)"
"158","江苏省连云港市","江苏省",518,"LYG","list()",320700,119.221611,34.59665,"连云港海上云台山景区","c(119.221611"," 34.59665)"
"159","江苏省淮安市淮安区吴承恩故居","江苏省",517,"HA","淮安区",320803,119.138706,33.52792,"淮安吴承恩故居景区","c(119.138706"," 33.52792)"
"160","江苏省南京市溧水区白马村","江苏省",25,"NJ","溧水区",320117,119.188863,31.56939,"南京白马如意文化艺术中心（周园）","c(119.188863"," 31.56939)"
"161","江苏省南京市玄武区南京博物院","江苏省",25,"NJ","玄武区",320102,118.825147,32.04078,"南京博物院","c(118.825147"," 32.04078)"
"162","江苏省无锡市梁溪区景区","江苏省",510,"WX","梁溪区",320213,120.30899,31.56656,"无锡南禅寺景区","c(120.30899"," 31.56656)"
"163","江苏省无锡市梁溪区古运河景区","江苏省",510,"WX","梁溪区",320213,120.311399,31.56211,"无锡清名桥古运河景区","c(120.311399"," 31.56211)"
"164","江苏省无锡市宜兴市中国宜兴陶瓷博物馆","江苏省",510,"WX","宜兴市",320282,119.830582,31.25941,"宜兴陶瓷博物馆","c(119.830582"," 31.25941)"
"165","江苏省无锡市宜兴市宜兴","江苏省",510,"WX","宜兴市",320282,119.805597,31.34258,"宜兴云湖旅游景区","c(119.805597"," 31.34258)"
"166","江苏省无锡市锡山区荡口古镇景区","江苏省",510,"WX","锡山区",320205,120.553211,31.52528,"无锡荡口古镇景区","c(120.553211"," 31.52528)"
"167","江苏省无锡市惠山区桃花源景区","江苏省",510,"WX","惠山区",320206,120.106222,31.59423,"无锡阳山桃花源景区","c(120.106222"," 31.59423)"
"168","江苏省徐州市沛县沛县汉城景区","江苏省",516,"XZ","沛县",320322,116.929501,34.72997,"沛县汉城景区","c(116.929501"," 34.72997)"
"169","江苏省徐州市贾汪区潘安湖湿地公园","江苏省",516,"XZ","贾汪区",320305,117.35548,34.3579,"徐州潘安湖湿地公园","c(117.35548"," 34.3579)"
"170","江苏省徐州市贾汪区大洞山景区","江苏省",516,"XZ","贾汪区",320305,117.50094,34.40539,"徐州大洞山景区","c(117.50094"," 34.40539)"
